age,monthly_spending,support_calls,months_as_customer,churn
69.2,668.67,9,23.77,1
69.08,880.16,3,47.38,0
67.56,320.58,9,48.77,0
21.73,442.03,11,31.87,1
25.17,411.06,0,17.23,0
33.83,93.71,0,52.26,0
46.75,621.42,12,12.99,1
23.04,350.34,6,67.5,1
61.98,719.34,6,14.34,0
50.07,757.3,6,8.62,1
46.2,748.05,5,36.33,0
26.6,404.17,8,37.89,0
31.17,323.31,7,37.08,1
26.34,686.5,2,32.0,0
62.3,731.18,8,71.63,1
48.38,467.57,8,35.53,0
56.23,809.08,1,34.93,1
33.39,172.32,4,30.95,1
37.31,797.21,10,5.74,0
39.05,131.68,8,43.1,1
57.52,180.5,1,17.19,0
58.16,503.76,0,46.27,0
28.75,107.39,7,4.61,0
66.96,94.89,6,70.68,0
24.27,50.44,12,34.3,1
64.6,420.87,6,64.67,1
23.22,708.43,12,34.76,1
31.76,79.61,2,5.28,0
62.02,604.42,5,59.38,0
27.33,749.66,1,47.02,1
39.51,192.8,7,56.5,1
41.39,174.83,2,31.4,0
30.75,781.68,6,46.29,0
54.93,749.66,4,61.79,0
62.27,508.1,2,45.81,0
63.48,746.32,1,25.68,0
35.64,128.84,6,48.04,0
45.6,385.31,12,48.7,1
30.92,677.13,2,69.2,0
30.73,268.83,5,27.33,1
26.39,689.48,2,31.18,0
66.88,478.55,10,58.66,0
64.18,687.73,5,36.91,0
58.42,444.98,12,53.3,1
44.92,362.72,3,33.64,1
43.51,236.31,1,16.3,0
45.55,227.12,7,53.91,0
45.9,688.77,8,10.31,0
40.6,151.07,12,15.1,1
24.85,123.08,11,45.5,1
24.53,199.85,11,54.06,1
67.52,199.04,8,64.52,1
43.07,749.64,4,20.35,0
67.57,388.73,5,8.86,0
26.51,891.83,1,68.88,0
46.83,166.63,5,11.96,1
28.8,605.51,4,15.03,0
31.17,431.42,0,21.68,0
19.56,383.98,2,38.59,0
24.19,793.82,6,63.68,1
65.68,879.26,4,55.0,1
34.72,791.93,12,51.28,1
49.62,213.46,6,13.44,1
42.18,237.68,12,26.4,1
38.82,607.66,8,34.97,1
45.66,295.72,0,11.47,0
27.74,674.52,2,20.41,0
