area_m2,rooms,building_age,distance_to_center_km,price
180.44,4,9.47,3.14,544103.29
121.8,3,12.75,3.67,284636.15
195.25,5,11.01,16.37,564056.83
167.04,5,5.52,1.28,530856.41
61.48,2,5.17,4.57,116770.83
215.73,5,32.76,5.61,673614.35
178.2,5,15.33,9.08,523738.79
182.56,5,13.42,10.76,524071.6
67.42,3,25.54,9.13,123043.65
123.82,3,19.35,1.97,309398.18
109.89,2,32.76,4.76,239531.3
207.18,4,27.31,15.26,581630.4
157.68,5,16.78,11.66,412716.06
188.98,6,13.17,11.86,558261.76
122.6,3,34.53,12.23,219286.1
84.77,2,25.12,13.85,95527.02
142.05,4,33.29,1.52,381203.03
56.17,1,4.15,6.92,98686.03
189.84,4,29.77,9.94,518365.66
155.54,4,22.3,6.42,410526.24
177.67,4,4.27,15.28,507979.52
107.04,3,20.59,8.95,181905.13
214.87,5,24.01,13.95,631550.4
201.3,5,0.43,15.41,594893.27
181.22,5,15.9,9.33,551709.35
79.06,2,28.89,16.42,98205.78
126.68,3,10.34,10.77,304397.71
52.67,1,16.05,15.38,25144.79
72.0,2,15.48,6.46,116841.18
164.53,3,10.57,9.23,449641.02
175.33,3,32.15,9.8,460593.73
214.31,4,27.35,2.34,704734.36
102.02,2,3.87,7.47,222238.35
109.83,3,34.9,16.55,185115.47
127.17,2,30.77,11.54,258174.6
78.16,2,9.94,3.61,185274.68
67.74,1,29.29,6.43,116286.26
128.25,3,3.72,3.85,305933.9
84.71,3,34.97,0.93,138376.55
162.22,4,23.3,16.73,409925.86
121.5,4,22.75,8.34,299505.25
190.72,4,3.17,5.88,572744.87
167.55,4,31.4,10.97,396977.17
99.66,2,1.01,0.63,254765.83
190.65,5,8.43,5.37,612533.92
185.83,5,5.01,12.8,576328.16
112.81,2,27.19,11.59,221295.64
95.46,2,6.94,17.68,150450.17
164.44,4,31.87,11.36,398961.04
69.46,3,22.97,8.86,120542.56
79.98,3,1.27,13.83,143841.43
